unique_id,phone_number,weight,consumption,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,con0,con1,con2,con3,con4,con5,con6,con7,con8,con9,cat0,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9
0,nBkNuqiewi,1.489106660352022,27.170247089548273,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.45375985478827086,1.7636215110222315,0.38739865497510184,1.577374323910484,2.9363133214856445,4.8698120604809425,6.8683879575390865,0.1635219113926878,7.338732287055714,8.691678741506417,2.0,8.0,1.0,1.0,4.0,4.0,7.0,7.0,3.0,9.0
1,BGamfrmVAh,8.021005917341718,13.918469254689809,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5625233489085374,1.844656890093187,0.982536969614211,2.169702330595998,0.4480701443853752,2.6512389330231945,5.202018049297346,1.5189199439904026,8.829079648961004,7.591564519195662,1.0,1.0,8.0,2.0,1.0,9.0,1.0,1.0,1.0,2.0
2,gERedHbPfM,7.120420611438922,21.225879537456656,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.7488733502705572,0.9658354543985312,1.6145656726389184,3.2838548045558156,2.898193579172794,3.880304209815856,6.1590166265652515,3.7205186860973,7.417724531584613,4.562472514712018,8.0,9.0,,9.0,0.0,7.0,5.0,8.0,1.0,1.0
3,bZlEGlojhZ,9.46446813127057,42.23880661599518,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.43653754680890433,1.1406871740564257,0.9072447763529431,0.5801468451677096,4.551531062131099,4.344848043508813,6.1343630100002215,7.60024305608853,4.008161410100555,0.6013673914185869,3.0,6.0,5.0,3.0,4.0,2.0,9.0,5.0,6.0,1.0
4,vsVsiGbOYT,0.5224628228052475,0.23594280954862823,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.18084298350659578,0.588784629217451,1.5881969053849727,2.5007321924201134,0.9634621361288159,5.292575719061371,2.4537423015732736,4.770718471887368,3.1824589537495545,9.388311486644133,4.0,5.0,8.0,7.0,2.0,3.0,4.0,6.0,0.0,1.0
5,zSyOzNPvMu,3.504982749294374,6.078456039155711,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6647494892465233,1.547620308052926,1.1134671474374962,3.366926275283629,2.8355889896096995,1.293036311151707,2.218460216635009,2.4732623509185556,4.446052507022315,2.6076324540334017,2.0,4.0,9.0,5.0,3.0,2.0,4.0,9.0,7.0,7.0
6,VQsFeMXihT,5.547648187881578,33.53745423633893,1.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0274505995305796,1.0027931906068022,2.849420867580369,0.960759463636542,4.411367210275846,1.6143396794239027,3.8803042350152235,7.417054743766925,5.423505626790478,4.267719838953987,2.0,5.0,4.0,5.0,2.0,6.0,7.0,8.0,2.0,3.0
7,YedXuVwSDJ,1.6539926912720604,41.29263775525238,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.8233897160889431,1.8262901116641814,0.8439689538301993,0.13887745661207296,3.2529942495106017,5.477509869371518,0.13312983051986205,3.4386764614249055,1.0748516658558844,2.599372440793948,5.0,1.0,4.0,2.0,0.0,1.0,9.0,1.0,5.0,9.0
8,HvUTkzOXsA,8.274798902851838,6.835329484247649,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.343138406716077,,0.7759706090077668,3.2927330243967505,2.294463547635365,4.370883753792491,2.387931562854499,3.9414339136502763,5.823534657943963,5.535389822764163,1.0,6.0,8.0,4.0,9.0,0.0,8.0,9.0,4.0,3.0
9,MKobgXOsbF,2.946912980136548,28.7546664713625,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7438867284728785,0.1992683842129861,1.4146384790203634,3.040871570853767,4.5452829829321795,4.136036112970319,5.6960455840201,2.9599883025350904,0.6570573281468712,1.13698476047558,2.0,2.0,9.0,8.0,9.0,1.0,0.0,9.0,8.0,2.0
